MWT1,POS1,MWT2,POS2,SWT1,SWT2,Rel
pollution eau,N N,pollution air,N N,eau,air,ANTI
plan global,N A,plan local,N A,global,local,ANTI
consommation totale,N A,alimentation totale,N A,consommation,alimentation,ANTI
eau dans le milieu,N P N,air en milieu,N P N,eau,air,ANTI
augmentation des gaz,N P N,diminution des gaz,N P N,augmentation,diminution,ANTI
inventaire faune,N N,inventaire de la flore,N P N,faune,flore,ANTI
développement urbain,N A,développement rural,N A,urbain,rural,ANTI
programme local,N A,programme mondial,N A,local,mondial,ANTI
eau en france,N P N,air france,N N,eau,air,ANTI
amplification du réchauffement,N P N,atténuation du réchauffement,N P N,amplification,atténuation,ANTI
diminution globale,N A,hausse globale,N A,diminution,hausse,ANTI
eau des populations,N P N,terre aux populations,N P N,eau,terre,ANTI
augmentation des émissions,N P N,baisse des émissions,N P N,augmentation,baisse,ANTI
diminution du niveau,N P N,hausse du niveau,N P N,diminution,hausse,ANTI
baisse du taux,N P N,croissance du taux,N P N,baisse,croissance,ANTI
environnement local,N A,environnement planétaire,N A,local,planétaire,ANTI
population en augmentation,N P N,baisse de la population,N P N,augmentation,baisse,ANTI
augmentation de la durée,N P N,diminution de la durée,N P N,augmentation,diminution,ANTI
faune aquatique,N A,flore aquatique,N A,faune,flore,ANTI
diminution de la population,N P N,hausse de la population,N P N,diminution,hausse,ANTI
faune alpine,N A,flore alpine,N A,faune,flore,ANTI
consommation de poissons,N P N,alimentation des poissons,N P N,consommation,alimentation,ANTI
outil global,N A,outil local,N A,global,local,ANTI
débat local,N A,débat mondial,N A,local,mondial,ANTI
croissance sélective,N A,décroissance sélective,N A,croissance,décroissance,ANTI
augmentation de la couverture,N P N,diminution de la couverture,N P N,augmentation,diminution,ANTI
augmentation de la vitesse,N P N,diminution de la vitesse,N P N,augmentation,diminution,ANTI
débat global,N A,débat local,N A,global,local,ANTI
contexte local,N A,contexte planétaire,N A,local,planétaire,ANTI
forêts en croissance,N P N,diminution des forêts,N P N,croissance,diminution,ANTI
croissance de la production,N P N,diminution de la production,N P N,croissance,diminution,ANTI
baisse par rapport,N P N,rapport à la croissance,N P N,baisse,croissance,ANTI
diminution de la production,N P N,hausse de la production,N P N,diminution,hausse,ANTI
caractère polluant,N A,caractère propre,N A,polluant,propre,ANTI
eau par exemple,N P N,terre par exemple,N P N,eau,terre,ANTI
niveau local,N A,niveau mondial,N A,local,mondial,ANTI
diminution du prix,N P N,prix à la hausse,N P N,diminution,hausse,ANTI
atmosphère par rapport,N P N,rapport à la terre,N P N,atmosphère,terre,ANTI
eau par heure,N P N,heure pour la terre,N P N,eau,terre,ANTI
eau vivante,N A,terre vivante,N A,eau,terre,ANTI
croissance annuelle,N A,diminution annuelle,N A,croissance,diminution,ANTI
réseau global,N A,réseau local,N A,global,local,ANTI
aménagement urbain,N A,aménagement rural,N A,urbain,rural,ANTI
eau pour les hommes,N P N,hommes de la terre,N P N,eau,terre,ANTI
augmentation substantielle,N A,diminution substantielle,N A,augmentation,diminution,ANTI
baisse de la température,N P N,élévation de la température,N P N,baisse,élévation,ANTI
domaine terrestre,N A,domaine marin,N A,terrestre,marin,ANTI
sauvegarde de la faune,N P N,sauvegarde de la flore,N P N,faune,flore,ANTI
retour à la mer,N P N,retour sur terre,N P N,mer,terre,ANTI
homme sur le changement,N P N,changement de nature,N P N,homme,nature,ANTI
augmentation des ressources,N P N,diminution des ressources,N P N,augmentation,diminution,ANTI
baisse de la teneur,N P N,élévation de la teneur,N P N,baisse,élévation,ANTI
eau du québec,N P N,terre de québec,N P N,eau,terre,ANTI
contexte global,N A,contexte local,N A,global,local,ANTI
homme dans les pyrénées,N P N,nature dans les pyrénées,N P N,homme,nature,ANTI
diminution rapide,N A,hausse rapide,N A,diminution,hausse,ANTI
paysage urbain,N A,paysage rural,N A,urbain,rural,ANTI
mer en france,N P N,terre france,N N,mer,terre,ANTI
augmentation importante,N A,baisse importante,N A,augmentation,baisse,ANTI
faune environnante,N A,flore environnante,N A,faune,flore,ANTI
capital humain,N A,capital naturel,N A,humain,naturel,ANTI
caractère local,N A,caractère mondial,N A,local,mondial,ANTI
écologie terrestre,N A,écologie aquatique,N A,terrestre,aquatique,ANTI
atmosphère de particules,N P N,particules de terre,N P N,atmosphère,terre,ANTI
cause de la diminution,N P N,cause de la hausse,N P N,diminution,hausse,ANTI
croissance des besoins,N P N,diminution des besoins,N P N,croissance,diminution,ANTI
faune variée,N A,flore variée,N A,faune,flore,ANTI
inventaire de la faune,N P N,inventaire de la flore,N P N,faune,flore,ANTI
croissance du taux,N P N,taux de diminution,N P N,croissance,diminution,ANTI
augmentation annuelle,N A,diminution annuelle,N A,augmentation,diminution,ANTI
sol terrestre,N A,sol marin,N A,terrestre,marin,ANTI
bain chaud,N A,bain froid,N A,chaud,froid,ANTI
mer grâce,N N,terre grâce,N N,mer,terre,ANTI
eau au niveau,N P N,air au niveau,N P N,eau,air,ANTI
intérêt global,N A,intérêt régional,N A,global,régional,ANTI
intérêt régional,N A,intérêt mondial,N A,régional,mondial,ANTI
augmentation du prix,N P N,diminution du prix,N P N,augmentation,diminution,ANTI
augmentation de la masse,N P N,diminution de la masse,N P N,augmentation,diminution,ANTI
pollution terrestre,N A,pollution aquatique,N A,terrestre,aquatique,ANTI
consommation animale,N A,alimentation animale,N A,consommation,alimentation,ANTI
eau à la surface,N P N,air de surface,N P N,eau,air,ANTI
augmentation de la population,N P N,baisse de la population,N P N,augmentation,baisse,ANTI
rapport à la croissance,N P N,diminution par rapport,N P N,croissance,diminution,ANTI
paysage régional,N A,paysage mondial,N A,régional,mondial,ANTI
appareils de récupération,N P N,élimination des appareils,N P N,récupération,élimination,ANTI
augmentation annuelle,N A,baisse annuelle,N A,augmentation,baisse,ANTI
contexte global,N A,contexte régional,N A,global,régional,ANTI
développement local,N A,développement mondial,N A,local,mondial,ANTI
diminution importante,N A,hausse importante,N A,diminution,hausse,ANTI
augmentation de la croissance,N P N,diminution de la croissance,N P N,augmentation,diminution,ANTI
tour de refroidissement,N P N,tour au réchauffement,N P N,refroidissement,réchauffement,ANTI
vie terrestre,N A,vie aquatique,N A,terrestre,aquatique,ANTI
ville en eau,N P N,air de la ville,N P N,eau,air,ANTI
baisse de la productivité,N P N,croissance de la productivité,N P N,baisse,croissance,ANTI
comportement humain,N A,comportement naturel,N A,humain,naturel,ANTI
scénarios de croissance,N P N,scénarios de la décroissance,N P N,croissance,décroissance,ANTI
climat chaud,N A,climat froid,N A,chaud,froid,ANTI
augmentation drastique,N A,diminution drastique,N A,augmentation,diminution,ANTI
faune de la région,N P N,flore de la région,N P N,faune,flore,ANTI
baisse moyenne,N A,croissance moyenne,N A,baisse,croissance,ANTI
augmentation du niveau,N P N,baisse du niveau,N P N,augmentation,baisse,ANTI
habitats par la faune,N P N,flore habitats,N N,faune,flore,ANTI
diminution de la demande,N P N,demande en hausse,N P N,diminution,hausse,ANTI
augmentation de la teneur,N P N,baisse de la teneur,N P N,augmentation,baisse,ANTI
homme sauvage,N A,nature sauvage,N A,homme,nature,ANTI
taux de diminution,N P N,hausse du taux,N P N,diminution,hausse,ANTI
relation homme,N N,relation à la nature,N P N,homme,nature,ANTI
cadre régional,N A,cadre mondial,N A,régional,mondial,ANTI
retour à la mer,N P N,retour à la terre,N P N,mer,terre,ANTI
déboisement des forêts,N P N,reboisement des forêts,N P N,déboisement,reboisement,ANTI
eau pour les populations,N P N,terre aux populations,N P N,eau,terre,ANTI
faune européenne,N A,flore européenne,N A,faune,flore,ANTI
diminution de la biodiversité,N P N,hausse de la biodiversité,N P N,diminution,hausse,ANTI
diminution de la productivité,N P N,hausse de la productivité,N P N,diminution,hausse,ANTI
stockage industriel,N A,stockage naturel,N A,industriel,naturel,ANTI
développement humain,N A,développement naturel,N A,humain,naturel,ANTI
eau de la ville,N P N,air de la ville,N P N,eau,air,ANTI
caractère global,N A,caractère local,N A,global,local,ANTI
augmentation sensible,N A,baisse sensible,N A,augmentation,baisse,ANTI
mer morte,N A,terre morte,N A,mer,terre,ANTI
eau solide,N A,terre solide,N A,eau,terre,ANTI
raison de la diminution,N P N,raison de la hausse,N P N,diminution,hausse,ANTI
absorption des rayons,N P N,émission de rayons,N P N,absorption,émission,ANTI
eau liquide,N A,air liquide,N A,eau,air,ANTI
refroidissement planétaire,N A,réchauffement planétaire,N A,refroidissement,réchauffement,ANTI
baisse globale,N A,élévation globale,N A,baisse,élévation,ANTI
homme dans le monde,N P N,monde de la nature,N P N,homme,nature,ANTI
contexte local,N A,contexte mondial,N A,local,mondial,ANTI
réchauffement anthropique,N A,réchauffement naturel,N A,anthropique,naturel,ANTI
arrêt rapide,N A,démarrage rapide,N A,arrêt,démarrage,ANTI
accélération de la déforestation,N P N,ralentissement de la déforestation,N P N,accélération,ralentissement,ANTI
patrimoine terrestre,N A,patrimoine marin,N A,terrestre,marin,ANTI
augmentation des coûts,N P N,diminution des coûts,N P N,augmentation,diminution,ANTI
mer à travers,N P N,terre à travers,N P N,mer,terre,ANTI
consommation industrielle,N A,alimentation industrielle,N A,consommation,alimentation,ANTI
eau par rapport,N P N,terre par rapport,N P N,eau,terre,ANTI
programme global,N A,programme régional,N A,global,régional,ANTI
eau au cours,N P N,air en cours,N P N,eau,air,ANTI
eau en france,N P N,air en france,N P N,eau,air,ANTI
consommation humaine,N A,alimentation humaine,N A,consommation,alimentation,ANTI
augmentation de la productivité,N P N,diminution de la productivité,N P N,augmentation,diminution,ANTI
eau fossile,N A,eau renouvelable,N A,fossile,renouvelable,ANTI
augmentation de la productivité,N P N,baisse de la productivité,N P N,augmentation,baisse,ANTI
eau verte,N A,terre verte,N A,eau,terre,ANTI
eau des écosystèmes,N P N,écosystèmes de la terre,N P N,eau,terre,ANTI
diminution générale,N A,hausse générale,N A,diminution,hausse,ANTI
croissance de la production,N P N,décroissance de la production,N P N,croissance,décroissance,ANTI
arrêt de la production,N P N,démarrage de la production,N P N,arrêt,démarrage,ANTI
tendance au refroidissement,N P N,tendance au réchauffement,N P N,refroidissement,réchauffement,ANTI
engagement local,N A,engagement mondial,N A,local,mondial,ANTI
centre régional,N A,centre mondial,N A,régional,mondial,ANTI
conservation de la faune,N P N,conservation de la flore,N P N,faune,flore,ANTI
homme sur le reste,N P N,reste de la nature,N P N,homme,nature,ANTI
alimentation en eau,N P N,air avec une alimentation,N P N,eau,air,ANTI
augmentation du pouvoir,N P N,baisse du pouvoir,N P N,augmentation,baisse,ANTI
diminution considérable,N A,hausse considérable,N A,diminution,hausse,ANTI
co2 en augmentation,N P N,diminution du co2,N P N,augmentation,diminution,ANTI
phase de refroidissement,N P N,phase de réchauffement,N P N,refroidissement,réchauffement,ANTI
augmentation de la pollution,N P N,diminution de la pollution,N P N,augmentation,diminution,ANTI
homme sur le milieu,N P N,nature du milieu,N P N,homme,nature,ANTI
récupération des eaux,N P N,élimination des eaux,N P N,récupération,élimination,ANTI
appel local,N A,appel mondial,N A,local,mondial,ANTI
approvisionnement global,N A,approvisionnement local,N A,global,local,ANTI
environnement régional,N A,environnement mondial,N A,régional,mondial,ANTI
eau dans le jardin,N P N,terre de jardin,N P N,eau,terre,ANTI
eau pour le développement,N P N,terre pour le développement,N P N,eau,terre,ANTI
diminution des rendements,N P N,hausse des rendements,N P N,diminution,hausse,ANTI
potentiel humain,N A,potentiel naturel,N A,humain,naturel,ANTI
appauvrissement de la faune,N P N,appauvrissement de la flore,N P N,faune,flore,ANTI
rapport à la terre,N P N,rapport au soleil,N P N,terre,soleil,ANTI
carbone global,N A,carbone régional,N A,global,régional,ANTI
température de la mer,N P N,température sur terre,N P N,mer,terre,ANTI
eau pour la consommation,N P N,alimentation en eau,N P N,consommation,alimentation,ANTI
système alternatif,N A,système continu,N A,alternatif,continu,ANTI
faune du parc,N P N,flore du parc,N P N,faune,flore,ANTI
connaissance de la faune,N P N,connaissance de la flore,N P N,faune,flore,ANTI
augmentation en termes,N P N,termes de diminution,N P N,augmentation,diminution,ANTI
courant alternatif,N A,courant continu,N A,alternatif,continu,ANTI
modèle industriel,N A,modèle naturel,N A,industriel,naturel,ANTI
croissance du nombre,N P N,diminution du nombre,N P N,croissance,diminution,ANTI
échelon régional,N A,échelon mondial,N A,régional,mondial,ANTI
eau dans la maison,N P N,air de la maison,N P N,eau,air,ANTI
échelon local,N A,échelon mondial,N A,local,mondial,ANTI
milieu terrestre,N A,milieu marin,N A,terrestre,marin,ANTI
mer au cours,N P N,terre au cours,N P N,mer,terre,ANTI
augmentation des ressources,N P N,baisse des ressources,N P N,augmentation,baisse,ANTI
homme à travers,N P N,nature au travers,N P N,homme,nature,ANTI
biodiversité de la faune,N P N,biodiversité de la flore,N P N,faune,flore,ANTI
modèle régional,N A,modèle mondial,N A,régional,mondial,ANTI
accélération de la croissance,N P N,ralentissement de la croissance,N P N,accélération,ralentissement,ANTI
baisse des revenus,N P N,croissance des revenus,N P N,baisse,croissance,ANTI
eau par jour,N P N,air par jour,N P N,eau,air,ANTI
eau dans le respect,N P N,respect de la terre,N P N,eau,terre,ANTI
terre contre les rayons,N P N,rayons du soleil,N P N,terre,soleil,ANTI
taux de croissance,N P N,taux de diminution,N P N,croissance,diminution,ANTI
diminution des précipitations,N P N,hausse des précipitations,N P N,diminution,hausse,ANTI
atmosphère en france,N P N,terre france,N N,atmosphère,terre,ANTI
homme au centre,N P N,nature centre,N N,homme,nature,ANTI
réchauffement local,N A,réchauffement planétaire,N A,local,planétaire,ANTI
augmentation continue,N A,baisse continue,N A,augmentation,baisse,ANTI
augmentation du pourcentage,N P N,diminution du pourcentage,N P N,augmentation,diminution,ANTI
mer dans la région,N P N,région terre,N N,mer,terre,ANTI
eau dans le jardin,N P N,air au jardin,N P N,eau,air,ANTI
énergie dans la consommation,N P N,alimentation en énergie,N P N,consommation,alimentation,ANTI
élévation globale,N A,diminution globale,N A,élévation,diminution,ANTI
élévation de la température,N P N,diminution de la température,N P N,élévation,diminution,ANTI
faune des milieux,N P N,flore des milieux,N P N,faune,flore,ANTI
atmosphère au cours,N P N,terre au cours,N P N,atmosphère,terre,ANTI
profondeur de la mer,N P N,profondeur dans la terre,N P N,mer,terre,ANTI
eau des sols,N P N,sols de la terre,N P N,eau,terre,ANTI
faune locale,N A,flore locale,N A,faune,flore,ANTI
diminution du nombre,N P N,hausse du nombre,N P N,diminution,hausse,ANTI
